iteration, (col, row), utility

3, 5|0, 22.309014
3, 6|0, 21.734151
3, 7|0, 21.183958
3, 0|1, 22.833795
3, 1|1, 22.498353
3, 2|1, 22.878627
3, 3|1, 22.445564
3, 4|1, 22.008779
3, 5|1, 21.840626
3, 6|1, 21.327626
3, 7|1, 20.905710
3, 0|2, 22.304455
3, 1|2, 22.131452
3, 2|2, 22.375351
3, 3|2, 21.962273
3, 4|2, 21.553335
3, 5|2, 21.385691
3, 6|2, 20.925682
3, 7|2, 20.545984
3, 0|3, 21.798014
3, 1|3, 21.743901
3, 2|3, 21.892809
3, 3|3, 21.492554
3, 4|3, 21.096015
3, 5|3, 20.941724
3, 6|3, 20.528539
3, 7|3, 20.186912
3, 0|4, 21.310350
3, 1|4, 21.343884
3, 2|4, 21.431334
3, 3|4, 21.083937
3, 4|4, 20.681925
3, 5|4, 20.511252
3, 6|4, 20.136671
3, 7|4, 19.829019
3, 0|5, 20.838378
3, 1|5, 20.936344
3, 2|5, 20.978126
3, 3|5, 20.595575
3, 4|5, 20.216145
3, 5|5, 20.086840
3, 6|5, 19.749758
3, 7|5, 19.472727
3, 0|6, 20.379858
3, 1|6, 20.525662
3, 2|6, 20.540306
3, 3|6, 20.202125
3, 4|6, 19.824865
3, 5|6, 19.480945
3, 6|6, 19.143127
3, 7|6, 18.816440
3, 0|7, 19.933154
3, 1|7, 20.114893
3, 2|7, 20.115270
3, 3|7, 19.814878
3, 4|7, 19.479429
3, 5|7, 19.147376
3, 6|7, 18.818884
3, 7|7, 18.494667
4, 0|0, 30.104829
4, 1|0, 28.478464
4, 2|0, 29.655959
4, 3|0, 29.031335
4, 4|0, 28.431305
4, 5|0, 29.109710
4, 6|0, 28.500085
4, 7|0, 27.913436
4, 0|1, 29.387939
4, 1|1, 28.238651
4, 2|1, 29.010631
4, 3|1, 28.531362
4, 4|1, 28.054811
4, 5|1, 28.511914
4, 6|1, 28.029156
4, 7|1, 27.554903
4, 0|2, 28.724834
4, 1|2, 27.925404
4, 2|2, 28.421875
4, 3|2, 28.053878
4, 4|2, 27.668192
4, 5|2, 27.946798
4, 6|2, 27.483750
4, 7|2, 27.136757
4, 0|3, 28.103514
4, 1|3, 27.562108
4, 2|3, 27.873499
4, 3|3, 27.581869
4, 4|3, 27.262513
4, 5|3, 27.407852
4, 6|3, 26.960405
